Algorithm,InputType,Size,ExecutionTimeMs,MaxRecursionDepth,Comparisons,SwapsOrAllocations
MergeSort,Random,100,0.0035,4,931,373
QuickSort,Random,100,0.0048,3,634,280
DeterministicSelect,Random,100,0.0089,7,479,338
MergeSort,Sorted,100,0.0020,4,544,100
QuickSort,Sorted,100,0.0030,4,578,96
DeterministicSelect,Sorted,100,0.0038,6,381,242
MergeSort,Reverse-Sorted,100,0.0021,4,1024,676
QuickSort,Reverse-Sorted,100,0.0032,4,604,282
DeterministicSelect,Reverse-Sorted,100,0.0035,6,390,262
MergeSort,Duplicate-Heavy,100,0.0058,4,918,362
QuickSort,Duplicate-Heavy,100,0.0088,3,871,287
DeterministicSelect,Duplicate-Heavy,100,0.0070,4,223,229
ClosestPair,Random2D,100,0.0948,7,25,200
MergeSort,Random,1000,0.0482,7,16364,4699
QuickSort,Random,1000,0.0501,7,10510,5800
DeterministicSelect,Random,1000,0.0415,10,4707,3965
MergeSort,Sorted,1000,0.0402,7,9956,1000
QuickSort,Sorted,1000,0.0748,6,10320,1016
DeterministicSelect,Sorted,1000,0.0211,9,4377,2894
MergeSort,Reverse-Sorted,1000,0.0312,7,16300,8320
QuickSort,Reverse-Sorted,1000,0.0415,6,11418,4108
DeterministicSelect,Reverse-Sorted,1000,0.0240,9,4378,2925
MergeSort,Duplicate-Heavy,1000,0.0373,7,15785,4264
QuickSort,Duplicate-Heavy,1000,0.1238,3,53430,3110
DeterministicSelect,Duplicate-Heavy,1000,0.0304,6,3587,3068
ClosestPair,Random2D,1000,1.6021,10,591,2000
MergeSort,Random,10000,0.7653,11,227069,32035
QuickSort,Random,10000,0.6706,8,152308,76925
DeterministicSelect,Random,10000,0.3790,13,48249,40040
MergeSort,Sorted,10000,0.3060,11,159248,10000
QuickSort,Sorted,10000,0.4064,9,143886,9954
DeterministicSelect,Sorted,10000,0.2460,13,47081,31346
MergeSort,Reverse-Sorted,10000,0.3557,11,193648,53920
QuickSort,Reverse-Sorted,10000,0.4489,9,158291,59618
DeterministicSelect,Reverse-Sorted,10000,0.2087,13,47054,31369
MergeSort,Duplicate-Heavy,10000,0.5244,11,221223,29550
QuickSort,Duplicate-Heavy,10000,9.9323,3,5033854,25934
DeterministicSelect,Duplicate-Heavy,10000,0.1744,7,23417,24766
ClosestPair,Random2D,10000,20.1164,13,5285,20000
MergeSort,Random,50000,2.5814,13,1369648,190165
QuickSort,Random,50000,2.6343,10,966186,523200
DeterministicSelect,Random,50000,1.8241,16,243559,217859
MergeSort,Sorted,50000,0.5725,13,947008,50000
QuickSort,Sorted,50000,0.9372,10,915660,50136
DeterministicSelect,Sorted,50000,0.8809,15,240070,160433
MergeSort,Reverse-Sorted,50000,0.9217,13,1179408,330512
QuickSort,Reverse-Sorted,50000,1.1918,11,929039,343346
DeterministicSelect,Reverse-Sorted,50000,0.9669,15,240043,160462
MergeSort,Duplicate-Heavy,50000,1.2763,13,1333888,176694
QuickSort,Duplicate-Heavy,50000,61.7978,3,125200813,155119
DeterministicSelect,Duplicate-Heavy,50000,0.5877,8,117325,123650
ClosestPair,Random2D,50000,82.2333,16,22896,100000
MergeSort,Random,100000,6.0752,14,2939084,380257
QuickSort,Random,100000,5.3037,10,2058132,1056262
DeterministicSelect,Random,100000,2.3099,16,490679,422084
MergeSort,Sorted,100000,1.5490,14,2044016,100000
QuickSort,Sorted,100000,1.9393,11,1919121,99972
DeterministicSelect,Sorted,100000,0.6245,16,485857,324161
MergeSort,Reverse-Sorted,100000,1.8417,14,2508816,661024
QuickSort,Reverse-Sorted,100000,2.4482,11,2084571,942584
DeterministicSelect,Reverse-Sorted,100000,0.9705,16,485894,324212
MergeSort,Duplicate-Heavy,100000,2.9533,14,2861414,352272
QuickSort,Duplicate-Heavy,100000,229.5298,3,500424308,319795
DeterministicSelect,Duplicate-Heavy,100000,1.6206,9,370729,315510
ClosestPair,Random2D,100000,110.4558,17,46247,200000
